id,nombre,direccion,barrio,lat,lon,source,norm
1,ALMACÉN Y BAR LAVALLE,Lavalle 1693,San Nicolás,-34.602997,-58.390952,Nominatim,"1693, Lavalle, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1048AAM, Argentina"
2,BARBARO BAR,Tres Sargentos 415,Retiro,-34.597887,-58.373198,USIG,"TRES SARGENTOS 415, CABA"
3,BAR BIDOU,Av. Roque Sáenz Peña 858,San Nicolás,-34.605223,-58.378784,USIG,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV. 858, CABA"
4,BAR BOCA A BOCA,Av. Benito Pérez Galdós 207,La Boca,-34.630299,-58.359465,USIG,"PEREZ GALDOS, BENITO AV. 207, CABA"
5,BAR BRITÁNICO,Brasil 399,San Telmo,-34.625306,-58.370839,USIG,"BRASIL AV. 399, CABA"
6,BAR CONDE,Av. Federico Lacroze 3193,Colegiales,-34.577801,-58.449427,USIG,"LACROZE, FEDERICO AV. 3193, CABA"
7,BAR DE CAO,Av. Independencia 2400,San Cristóbal,-34.618679,-58.399898,USIG,"INDEPENDENCIA AV. 2400, CABA"
8,BAR DEL ALVEAR PALACE HOTEL,Av. Alvear 1891,Recoleta,-34.587677,-58.388996,GCBA,"ALVEAR AV. 1891, CABA"
9,BAR EL COLONIAL,Av. Belgrano 599,Montserrat,-34.612552,-58.374516,GCBA,"BELGRANO AV. 599, CABA"
10,BAR DEL GLORIAS,Andalgalá 1982,Mataderos,-34.659301,-58.510313,USIG,"ANDALGALA 1982, CABA"
11,BAR IBERIA,Av. de Mayo 1196,Montserrat,-34.609258,-58.383303,GCBA,"DE MAYO AV. 1196, CABA"
12,BAR 9 DE JULIO,Larrazábal 1276,Mataderos,-34.650998,-58.502491,USIG,"LARRAZABAL AV. 1276, CABA"
13,BAR OLIMPO,Irigoyen 1491,Monte Castro,-34.626898,-58.518306,USIG,"IRIGOYEN 1491, CABA"
14,BAR OVIEDO,Av. Lisandro de la Torre 2407,Mataderos,-34.662711,-58.500062,USIG,"DE LA TORRE, LISANDRO AV. 2407, CABA"
15,BAR PORTUARIO,Pinzón 102,La Boca,-34.632174,-58.356024,USIG,"PINZON 102, CABA"
16,BAR PLAZA DORREGO,Defensa 1098,San Telmo,-34.620552,-58.371399,USIG,"DEFENSA 1098, CABA"
17,BAR QUINTINO,Carlos Calvo 4002,Boedo,-34.624844,-58.421977,USIG,"CALVO, CARLOS AV. 4002, CABA"
18,BAR SEDDON,Defensa 695,Montserrat,-34.615917,-58.371763,USIG,"DEFENSA 695, CABA"
19,BAR SUR,Estados Unidos 299,San Telmo,-34.618388,-58.37003,USIG,"ESTADOS UNIDOS 299, CABA"
20,BAR VIA 71,Viamonte 1771,San Nicolás,-34.600753,-58.392349,USIG,"VIAMONTE 1771, CABA"
21,BOSTON CITY,Florida 165 local 3,San Nicolás,-34.606125,-58.375033,USIG,"FLORIDA 165, CABA"
22,CABILDO DE BUENOS AIRES,Perú 86,Montserrat,-34.609028,-58.374846,USIG,"PERU 86, CABA"
23,CAFÉ CORTÁZAR,José Antonio Cabrera 3797,Palermo,-34.596464,-58.419818,USIG,"CABRERA, JOSE A. 3797, CABA"
24,CAFÉ DE GARCÍA,Sanabria 3302,Villa Devoto,-34.606356,-58.51059,USIG,"SANABRIA 3302, CABA"
25,CAFÉ DE LA U,Av. Triunvirato 4801,Villa Urquiza,-34.573373,-58.487403,USIG,"TRIUNVIRATO AV. 4801, CABA"
26,CAFÉ DE LOS ANGELITOS,Av. Rivadavia 2100,Balvanera,-34.609527,-58.396007,GCBA,"RIVADAVIA AV. 2100, CABA"
27,CAFÉ MARGOT,Av. Boedo 857,Boedo,-34.623266,-58.416375,USIG,"BOEDO AV. 857, CABA"
28,CAFÉ RIVAS,Estados Unidos 302,San Telmo,-34.618461,-58.370277,USIG,"ESTADOS UNIDOS 302, CABA"
29,CAFÉ ROMA,Olavarría 409,La Boca,-34.636242,-58.358759,USIG,"OLAVARRIA 409, CABA"
30,CAFÉ SAN BERNARDO,Av. Corrientes 5436,Villa Crespo,-34.597863,-58.441098,USIG,"CORRIENTES AV. 5436, CABA"
31,CAFÉ TABAC,Av. del Libertador 2300,Recoleta,-34.580905,-58.404473,USIG,"DEL LIBERTADOR AV. 2300, CABA"
32,CAFÉ THIBON,Montevideo 723,San Nicolás,-34.600414,-58.389571,USIG,"MONTEVIDEO 723, CABA"
33,CAFÉ TORTONI,Av. de Mayo 825,Montserrat,-34.608824,-58.37813,GCBA,"DE MAYO AV. 825, CABA"
34,CELTA BAR,Sarmiento 1702,San Nicolás,-34.605579,-58.390932,GCBA,"SARMIENTO 1702, CABA"
35,CLARIDGE'S BAR,Tucumán 535,San Nicolás,-34.600965,-58.374517,GCBA,"TUCUMAN 535, CABA"
36,CLÁSICA Y MODERNA,Av. Callao 892,San Nicolás,-34.599001,-58.393113,USIG,"CALLAO AV. 892, CABA"
37,CONFITERÍA LA IDEAL,Suipacha 384,San Nicolás,-34.603924,-58.37949,GCBA,"SUIPACHA 384, CABA"
38,CONFITERÍA EL GRECO,Av. Rivadavia 5353,Caballito,-34.620162,-58.440853,USIG,"RIVADAVIA AV. 5353, CABA"
39,CONFITERÍA SAINT MORITZ,Esmeralda 894,Retiro,-34.597786,-58.3784,USIG,"ESMERALDA 894, CABA"
40,DON JUAN BAR,Camarones 2702,Villa Santa Rita,-34.611192,-58.478216,USIG,"CAMARONES 2702, CABA"
41,EL BANDERÍN,Guardia Vieja 3601,Almagro,-34.601649,-58.415489,USIG,"GUARDIA VIEJA 3601, CABA"
42,EL BOLICHE DE ROBERTO,Bulnes 331,Almagro,-34.607009,-58.418597,USIG,"BULNES 331, CABA"
43,EL BUZÓN,Esquiú 1393,Nueva Pompeya,-34.65116,-58.423403,USIG,"ESQUIU 1393, CABA"
44,EL COLECCIONISTA,Av. Rivadavia 4929,Caballito,-34.617422,-58.434687,USIG,"RIVADAVIA AV. 4929, CABA"
45,EL ESTAÑO 1880,Aristóbulo del Valle 1100,La Boca,-34.635408,-58.36821,USIG,"VALLE, ARISTOBULO DEL 1100, CABA"
46,EL FARO,Av. de los Constituyentes 4099,Parque Chas,-34.584925,-58.488592,USIG,"DE LOS CONSTITUYENTES AV. 4099, CABA"
47,EL FEDERAL,Carlos Calvo 595,San Telmo,-34.619619,-58.374145,USIG,"CALVO, CARLOS 595, CABA"
48,EL GATO NEGRO,Av. Corrientes 1669,San Nicolás,-34.604209,-58.390307,GCBA,"CORRIENTES AV. 1669, CABA"
49,EL HIPOPÓTAMO,Brasil 401,San Telmo,-34.625331,-58.371288,GCBA,"BRASIL 401, CABA"
50,EL PROGRESO,Av. Montes de Oca 1700,Barracas,-34.646536,-58.372916,USIG,"MONTES DE OCA, MANUEL AV. 1700, CABA"
51,EL QUERANDÍ,Perú 302,Montserrat,-34.611647,-58.374749,GCBA,"PERU 302, CABA"
