orden,id_original,nombre,direccion,barrio,lat,lon,distancia_tramo_km,distancia_acumulada_km
1,14,BAR OVIEDO,Av. Lisandro de la Torre 2407,Mataderos,-34.662711,-58.500062,0.0,0.0
2,10,BAR DEL GLORIAS,Andalgalá 1982,Mataderos,-34.659301,-58.510313,1.01,1.01
3,12,BAR 9 DE JULIO,Larrazábal 1276,Mataderos,-34.650998,-58.502491,1.17,2.18
4,13,BAR OLIMPO,Irigoyen 1491,Monte Castro,-34.626898,-58.518306,3.05,5.22
5,24,CAFÉ DE GARCÍA,Sanabria 3302,Villa Devoto,-34.606356,-58.51059,2.39,7.62
6,87,STYLO CAFÉ,Fernández de Enciso 3934,Villa Devoto,-34.601354,-58.512648,0.59,8.2
7,53,EL TOKIO,Av. Álvarez Jonte 3550,Villa Santa Rita,-34.612407,-58.491572,2.29,10.49
8,40,DON JUAN BAR,Camarones 2702,Villa Santa Rita,-34.611192,-58.478216,1.23,11.72
9,63,LA FARMACIA,Av. Directorio 2400,Flores,-34.633541,-58.460605,2.96,14.68
10,43,EL BUZÓN,Esquiú 1393,Nueva Pompeya,-34.65116,-58.423403,3.93,18.61
11,17,BAR QUINTINO,Carlos Calvo 4002,Boedo,-34.624844,-58.421977,2.93,21.54
12,55,ESQUINA HOMERO MANZI,Av. San Juan 3601,Boedo,-34.625385,-58.416337,0.52,22.06
13,27,CAFÉ MARGOT,Av. Boedo 857,Boedo,-34.623266,-58.416375,0.24,22.29
14,7,BAR DE CAO,Av. Independencia 2400,San Cristóbal,-34.618679,-58.399898,1.59,23.88
15,78,MIRAMAR,Sarandí 1190,San Cristóbal,-34.622663,-58.393748,0.72,24.6
16,64,LA FLOR DE BARRACAS,Suárez 2095,Barracas,-34.641822,-58.379497,2.5,27.1
17,76,LOS LAURELES,Av. Iriarte 2290,Barracas,-34.64945,-58.37943,0.85,27.95
18,50,EL PROGRESO,Av. Montes de Oca 1700,Barracas,-34.646536,-58.372916,0.68,28.62
19,68,LA PERLA,Av. Don Pedro de Mendoza 1899,La Boca,-34.639338,-58.361731,1.3,29.92
20,29,CAFÉ ROMA,Olavarría 409,La Boca,-34.636242,-58.358759,0.44,30.36
21,61,LA BUENA MEDIDA,Suárez 101,La Boca,-34.633746,-58.355061,0.44,30.8
22,15,BAR PORTUARIO,Pinzón 102,La Boca,-34.632174,-58.356024,0.2,31.0
23,4,BAR BOCA A BOCA,Av. Benito Pérez Galdós 207,La Boca,-34.630299,-58.359465,0.38,31.37
24,45,EL ESTAÑO 1880,Aristóbulo del Valle 1100,La Boca,-34.635408,-58.36821,0.98,32.35
25,5,BAR BRITÁNICO,Brasil 399,San Telmo,-34.625306,-58.370839,1.15,33.5
26,49,EL HIPOPÓTAMO,Brasil 401,San Telmo,-34.625331,-58.371288,0.04,33.54
27,16,BAR PLAZA DORREGO,Defensa 1098,San Telmo,-34.620552,-58.371399,0.53,34.08
28,47,EL FEDERAL,Carlos Calvo 595,San Telmo,-34.619619,-58.374145,0.27,34.35
29,28,CAFÉ RIVAS,Estados Unidos 302,San Telmo,-34.618461,-58.370277,0.38,34.72
30,19,BAR SUR,Estados Unidos 299,San Telmo,-34.618388,-58.37003,0.02,34.75
31,18,BAR SEDDON,Defensa 695,Montserrat,-34.615917,-58.371763,0.32,35.07
32,69,LA POESÍA,Chile 502,San Telmo,-34.616062,-58.373267,0.14,35.2
33,9,BAR EL COLONIAL,Av. Belgrano 599,Montserrat,-34.612552,-58.374516,0.41,35.61
34,51,EL QUERANDÍ,Perú 302,Montserrat,-34.611647,-58.374749,0.1,35.71
35,70,LA PUERTO RICO,Alsina 420,Montserrat,-34.610196,-58.372381,0.27,35.98
36,22,CABILDO DE BUENOS AIRES,Perú 86,Montserrat,-34.609028,-58.374846,0.26,36.24
37,73,LONDON CITY,Av. de Mayo 599,Montserrat,-34.608508,-58.37474,0.06,36.3
38,33,CAFÉ TORTONI,Av. de Mayo 825,Montserrat,-34.608824,-58.37813,0.31,36.62
